_id,issue,public_access_level,category,department,codebook_version,request_type_id,count_as_of_mid2024,definition
1,911 Performance,Neighborhood,,,2024,71781,557,
2,"ADA Ramp, Installation",Block Level,,,2024,817,252,
3,Abandoned Vehicle,Neighborhood,Parking,Police - AVU,2024,160747,684,
4,Abandoned Vehicle (DO NOT USE),Neighborhood,Parking,Police - AVU,2024,160747,9,
5,Abandoned Vehicle (parked on street),Neighborhood,Parking,Police - AVU,2015,415,21401,
6,Accessibility Construction Issue,Block Level,Construction Issues,"Permits, Licenses and Inspections",2015,33743,148,
7,Accessible Parking Application,Block Level,,,2024,823,114,
8,"Accessible Parking Signs, Removal ",Block Level,,,2024,551,180,
9,Alarm Permit,Neighborhood,Permits,Finance,2015,434,48,Permit for security alarm system.
10,Amenities,Block Level,,,2024,336958,1,
11,Americans with Disabilities,Block Level,Accessibility,City Planning - Disabilities,2015,353,792,
12,Amusement Tax,N/A,Taxes,Finance,2015,14564,26,
13,Angle Iron,Block Level,,,2024,515881,206,
14,Animal Waste,Neighborhood,Animal Issues,Animal Care & Control,2015,361,1157,
15,Ballfield,Block Level,,,2024,544,67,
16,Barking Dog,Neighborhood,Animal Issues,Animal Care & Control,2015,272,1822,
17,Barricades,Block Level,Road/Street Issues,DPW - Street Maintenance,2015,8522,1434,
18,Basketball Hoop,Block Level,Road/Street Issues,DPW - Permits,2015,3598,165,
19,Benefits,N/A,Personnel (City),Human Resources and Civil Service Commission,2015,12072,118,
20,Bicycle Parking,Block Level,,,2024,175753,221,
21,Bicycle/Pedestrian Concerns,Block Level,,,2024,34445,1204,
22,Bicycle/Pedestrian/Trail - Network Improvements,Block Level,,,2024,321704,3,
23,Bike Lane Bollard,Block Level,Pedestrian/Bicycle Concerns,DPW - Construction Division,2015,542,898,
24,Bike Trail Maintenance,Block Level,Pedestrian/Bicycle Concerns,DPW - Street Maintenance,2015,,,
25,Billing,N/A,Business Issues,Finance,2015,369,3,
26,Blocked or Closed Sidewalks,Neighborhood,,,2024,5659,5046,
27,Blocked or Closed Trails,Block Level,,,2024,396136,336,
28,Blue Bin Containers,Neighborhood,,,2024,475156,5367,
29,Board Up (City-owned property only),Block Level,,,2024,16227,965,
30,Boat/Trailer on Street,Neighborhood,Parking,Police - Zones 1-6,2015,416,1315,
31,Bollard Repair/Maintenance,Block Level,Construction Issues,DPW - Construction Division,2015,,,
32,Brick or Block Repair,Block Level,Road/Street Issues,DPW - Construction Division,2024,459,540,
33,Brick/block or concrete slab repair,Block Level,Road/Street Issues,DPW - Construction Division,2015,,,
34,Bridge Maintenance,Block Level,Road/Street Issues,DPW - Street Maintenance,2015,24077,397,
35,Broken Sidewalk,Block Level,Building Maintenance,"Permits, Licenses and Inspections",2015,27530,6282,
36,Building (Residential)/DO NOT USE,Block Level,,,2024,400,105,
37,Building Benchmark Ordinance,Block Level,,,2024,233551,73,
38,Building Maintenance,Neighborhood,Building Maintenance,"Permits, Licenses and Inspections",2015,17302,26978,
39,Building Violation (Residential)/DO NOT USE,Block Level,,,2024,386,45,
40,Building Without a Permit,Neighborhood,Construction Issues,"Permits, Licenses and Inspections",2015,436,10888,
41,Building or Property Maintenance,Block Level,,,2024,160745,189,
42,Bulk,Neighborhood,Garbage and Litter Issues,DPW - Refuse,2015,,,
43,Bulk Pick Up,Neighborhood,,,2024,502,1735,
44,Bus Shelter,Block Level,Construction Issues,311,2015,461,615,
45,Bus Shelter Relocation Request,Block Level,,,2024,237229,25,
46,Bus Stop Request,Block Level,Road/Street Issues,DPW - Transportation & Engineering,2015,462,72,
47,Business Accessibility,Neighborhood,Business Issues,"Permits, Licenses and Inspections",2015,16215,186,
48,COVID - 19 Violations,Neighborhood,,,2024,431376,132,
49,Cable Bureau/Programming,N/A,"Communications (Cable, Website)",Innovation & Performance,2015,382,329,
50,Capital Budget Candidate,Block Level,,,2024,336960,34,
